order_book_id,board_type,sector_code,yield_rate,month,date,VOL5,VOL20,OBOS,RSI10,ACCER,SY,AROON_UP,AROON_DOWN
605166.XSHG,MainBoard,Materials,-0.017410228509249226,220,2021-07-13,0.634316936949991,0.7565375479813367,0.0,46.9696969696969,0.0015674387273953228,44.44444444444444,28.57142857142857,64.28571428571429
300074.XSHE,GEM,InformationTechnology,-0.08676789587852507,220,2021-07-13,3.1836504765127462,2.8824344887354245,0.0,73.46938775510206,0.006972420204524296,44.44444444444444,100.0,50.0
002717.XSHE,MainBoard,Industrials,-0.03642384105960261,220,2021-07-13,1.2031040072828445,1.5703242546910627,2.0,55.17241379310344,0.0031141595711132943,55.55555555555556,7.142857142857142,85.71428571428571
002460.XSHE,MainBoard,Materials,-0.002361864013067372,220,2021-07-13,5.6148989105717115,4.530340097062219,8.0,97.73764258555133,0.03924993686337234,88.88888888888889,100.0,50.0
002850.XSHE,MainBoard,InformationTechnology,-0.16935957696827264,220,2021-07-13,4.073274639318292,2.502971736511416,4.0,95.53883834849543,0.055637450338537335,66.66666666666666,100.0,14.285714285714285
300418.XSHE,GEM,InformationTechnology,-0.0405476566614007,220,2021-07-13,2.7252687202882986,2.128792649274059,2.0,71.6764823805662,0.011233108136395194,66.66666666666666,100.0,35.714285714285715
600280.XSHG,MainBoard,ConsumerDiscretionary,0.02208201892744488,220,2021-07-13,0.40935604517482826,0.6050700618997142,-4.0,27.08333333333327,-0.005971158179360192,33.33333333333333,14.285714285714285,100.0
603160.XSHG,MainBoard,InformationTechnology,-0.0067161541180628115,220,2021-07-13,0.9209446044578684,1.2466615860589991,-4.0,20.19999999999999,-0.003301267484724644,22.22222222222222,7.142857142857142,64.28571428571429
688085.XSHG,KSH,HealthCare,-0.06597792909133604,220,2021-07-13,3.2792539169336763,4.863832401953087,0.0,57.24409448818897,0.0007099811044398873,44.44444444444444,42.857142857142854,14.285714285714285
300632.XSHE,GEM,InformationTechnology,-0.014373716632443467,220,2021-07-13,3.7192685138659183,6.051664449931567,-2.0,37.426104408948355,-0.00024616104808655406,33.33333333333333,14.285714285714285,71.42857142857143
002906.XSHE,MainBoard,ConsumerDiscretionary,0.0872759330002939,220,2021-07-13,2.064320844549932,1.6787275702169142,4.0,69.33962264150945,0.020989882876453467,66.66666666666666,100.0,57.14285714285714
300057.XSHE,GEM,Materials,-0.021538461538461506,220,2021-07-13,6.276119565830088,6.405087592938926,0.0,52.23214285714285,0.002820512820512858,44.44444444444444,64.28571428571429,7.142857142857142
688179.XSHG,KSH,HealthCare,-0.05736738703339883,220,2021-07-13,6.485530247504038,5.313290905579197,0.0,41.67312161115414,-0.026235382168584467,44.44444444444444,42.857142857142854,85.71428571428571
300062.XSHE,GEM,Industrials,0.36239782016348787,220,2021-07-13,17.236063531377276,13.343321744591488,6.0,70.88122605363985,0.020965788676960324,88.88888888888889,100.0,50.0
300480.XSHE,GEM,InformationTechnology,0.022664624808575784,220,2021-07-13,4.521213495273205,3.3681499116031506,0.0,75.47318611987382,0.04034492817034926,55.55555555555556,92.85714285714286,35.714285714285715
300657.XSHE,GEM,InformationTechnology,0.014001077005923346,220,2021-07-13,6.949311147504719,3.2864577671083812,6.0,88.97065365183067,0.02850364564560663,77.77777777777779,100.0,35.714285714285715
